time,action,product_id,product_name,quantity_delta,inventory_after,actor,notes
2026-07-05T09:41:03.276Z,DISPENSE,P003,XIAO ESP32-C5,-2,8,frontend-1,ORD-20260705094040-W7LLMY
2026-07-05T09:41:03.507Z,DISPENSE_ROLLBACK,P003,XIAO ESP32-C5,2,10,frontend-1,ORD-20260705094040-W7LLMY
2026-07-05T09:53:02.514Z,DISPENSE,P001,XIAO ESP32-S3 Sense,-3,6,frontend-1,selecting
2026-07-05T10:11:45.718Z,DISPENSE,P001,XIAO ESP32-S3 Sense,-2,4,frontend-1,ORD-20260705101135-L7T_KQ
2026-07-05T10:11:45.718Z,DISPENSE,P002,XIAO ESP32-C3,-2,8,frontend-1,ORD-20260705101135-L7T_KQ
2026-07-05T10:11:45.719Z,DISPENSE,P003,XIAO ESP32-C5,-2,8,frontend-1,ORD-20260705101135-L7T_KQ
2026-07-05T10:11:45.719Z,DISPENSE,P004,XIAO nRF52840 Sense,-2,8,frontend-1,ORD-20260705101135-L7T_KQ
2026-07-05T10:12:59.911Z,DISPENSE,P001,XIAO ESP32-S3 Sense,-2,2,frontend-1,ORD-20260705101248-7WRYV7
2026-07-05T10:12:59.911Z,DISPENSE,P002,XIAO ESP32-C3,-2,6,frontend-1,ORD-20260705101248-7WRYV7
2026-07-05T10:12:59.912Z,DISPENSE,P003,XIAO ESP32-C5,-2,6,frontend-1,ORD-20260705101248-7WRYV7
2026-07-05T10:12:59.912Z,DISPENSE,P004,XIAO nRF52840 Sense,-2,6,frontend-1,ORD-20260705101248-7WRYV7
2026-07-05T10:17:36.170Z,DISPENSE,P001,XIAO ESP32-S3 Sense,-2,0,frontend-1,selecting
2026-07-05T10:17:36.171Z,DISPENSE,P002,XIAO ESP32-C3,-3,3,frontend-1,selecting
2026-07-05T10:17:36.172Z,DISPENSE,P003,XIAO ESP32-C5,-6,0,frontend-1,selecting
2026-07-06T03:32:21.534Z,REFILL,P003,XIAO ESP32-C5,6,6,dashboard,
2026-07-06T03:32:22.574Z,REFILL,P001,XIAO ESP32-S3 Sense,1,1,dashboard,
2026-07-06T03:32:23.349Z,REFILL,P001,XIAO ESP32-S3 Sense,1,2,dashboard,
2026-07-06T03:32:23.504Z,REFILL,P001,XIAO ESP32-S3 Sense,1,3,dashboard,
2026-07-06T03:32:23.650Z,REFILL,P001,XIAO ESP32-S3 Sense,1,4,dashboard,
2026-07-06T03:32:23.787Z,REFILL,P001,XIAO ESP32-S3 Sense,1,5,dashboard,
2026-07-06T03:32:23.942Z,REFILL,P001,XIAO ESP32-S3 Sense,1,6,dashboard,
2026-07-06T03:32:24.079Z,REFILL,P001,XIAO ESP32-S3 Sense,1,7,dashboard,
2026-07-06T03:32:24.934Z,REFILL,P002,XIAO ESP32-C3,1,4,dashboard,
2026-07-06T03:32:25.080Z,REFILL,P002,XIAO ESP32-C3,1,5,dashboard,
2026-07-06T03:32:25.219Z,REFILL,P002,XIAO ESP32-C3,1,6,dashboard,
2026-07-06T03:32:25.355Z,REFILL,P002,XIAO ESP32-C3,1,7,dashboard,
2026-07-06T03:32:26.114Z,REFILL,P004,XIAO nRF52840 Sense,1,7,dashboard,
2026-07-06T03:32:27.059Z,INIT,P001,XIAO ESP32-S3 Sense,0,7,operator,initialize page
2026-07-06T03:32:27.060Z,INIT,P002,XIAO ESP32-C3,0,7,operator,initialize page
2026-07-06T03:32:27.061Z,INIT,P003,XIAO ESP32-C5,0,6,operator,initialize page
2026-07-06T03:32:27.062Z,INIT,P004,XIAO nRF52840 Sense,0,7,operator,initialize page
