job_id,order_number,user_name,rfid_payload,rfid_card_uid,status,created_at,claimed_at,written_at,device_id,message,job_type
WJ-DAO47YBT,ORD-20260705094040-W7LLMY,matthew,"{""type"":""direct"",""user_name"":""matthew"",""order_number"":""ORD-20260705094040-W7LLMY"",""v"":1}",71 B1 49 A0,WRITTEN,2026-07-05T09:40:40.478Z,2026-07-05T09:40:42.605Z,2026-07-05T09:40:47.603Z,wio-rfid-writer,RFID card written successfully,ORDER
WJ-6_BBGWNV,,matt,"{""type"":""selecting"",""user_name"":""matt"",""v"":1}",21 0E 4A A0,WRITTEN,2026-07-05T09:48:31.058Z,2026-07-05T09:48:31.516Z,2026-07-05T09:48:38.632Z,wio-rfid-writer,RFID card written successfully,BALANCE
WJ-WXQHMGJO,ORD-20260705101135-L7T_KQ,ma,"{""type"":""direct"",""user_name"":""ma"",""order_number"":""ORD-20260705101135-L7T_KQ"",""v"":1}",21 0E 4A A0,WRITTEN,2026-07-05T10:11:35.185Z,2026-07-05T10:11:36.070Z,2026-07-05T10:11:39.806Z,wio-rfid-writer,RFID card written successfully,ORDER
WJ-Y_BCJJB7,ORD-20260705101248-7WRYV7,matthew,"{""type"":""direct"",""user_name"":""matthew"",""order_number"":""ORD-20260705101248-7WRYV7"",""v"":1}",21 0E 4A A0,WRITTEN,2026-07-05T10:12:48.091Z,2026-07-05T10:12:48.465Z,2026-07-05T10:12:54.179Z,wio-rfid-writer,RFID card written successfully,ORDER
WJ-YNSIA4LL,,matthew,"{""type"":""selecting"",""user_name"":""matthew"",""v"":1}",21 0E 4A A0,WRITTEN,2026-07-05T10:16:46.213Z,2026-07-05T10:16:46.609Z,2026-07-05T10:17:06.284Z,wio-rfid-writer,RFID card written successfully,BALANCE
WJ-JGIJCBE3,,matthew,"{""type"":""selecting"",""user_name"":""matthew"",""v"":1}",71 B1 49 A0,WRITTEN,2026-07-05T10:17:00.237Z,2026-07-05T10:17:08.294Z,2026-07-05T15:56:53.547Z,wio-rfid-writer,RFID card written successfully,BALANCE
WJ-JJL-CR5K,,matthew3,"{""type"":""selecting"",""user_name"":""matthew3"",""v"":1}",71 B1 49 A0,FAILED,2026-07-05T15:56:16.044Z,2026-07-05T15:56:55.805Z,,wio-rfid-writer,RFID write failed. Check card type/auth/key.,BALANCE
WJ-BEERYK2H,,matthew3,"{""type"":""selecting"",""user_name"":""matthew3"",""v"":1}",71 B1 49 A0,WRITTEN,2026-07-05T15:58:22.859Z,2026-07-05T15:58:23.212Z,2026-07-05T15:59:46.366Z,wio-rfid-writer,RFID card written successfully,BALANCE
WJ-JGIVUPGZ,,matthew3,"{""type"":""selecting"",""user_name"":""matthew3"",""v"":1}",71 B1 49 A0,WRITTEN,2026-07-05T15:59:58.719Z,2026-07-05T15:59:59.474Z,2026-07-05T16:00:40.021Z,wio-rfid-writer,RFID card written successfully,BALANCE
WJ-0BQSXJWV,,matthew3,"{""type"":""selecting"",""user_name"":""matthew3"",""v"":1}",00 B7 BC 43,WRITTEN,2026-07-05T16:02:15.453Z,2026-07-05T16:02:15.872Z,2026-07-05T16:02:17.839Z,wio-rfid-writer,RFID card written successfully,BALANCE
WJ-PNVCOR-T,,fansng,"{""type"":""selecting"",""user_name"":""fansng"",""v"":1}",94 7D 14 BB,WRITTEN,2026-07-06T03:36:41.819Z,2026-07-06T03:36:43.590Z,2026-07-06T03:36:46.283Z,wio-rfid-writer,RFID card written successfully,BALANCE
